Date,Close/Last,Volume,Open,High,Low
2/11/2019,1591.00,3301240,1600.98,1609.29,1586.00
2/8/2019,1588.22,5649888,1586.00,1588.59,1566.76
2/7/2019,1614.37,4605293,1625.00,1625.54,1592.91
2/6/2019,1640.26,3930870,1670.75,1672.26,1633.34
2/5/2019,1658.81,4443632,1643.34,1665.26,1642.50
2/4/2019,1633.31,4911319,1623.00,1649.63,1613.50
2/1/2019,1626.23,11484130,1638.88,1673.06,1622.01
1/31/2019,1718.73,10304330,1692.85,1736.41,1679.08
1/30/2019,1670.43,5717042,1623.00,1676.95,1619.68
1/29/2019,1593.88,4591586,1631.27,1632.38,1590.72
1/28/2019,1637.89,4807564,1643.59,1645.00,1614.09
1/25/2019,1670.57,4933434,1670.50,1683.48,1661.61
1/24/2019,1654.93,4077737,1641.07,1657.26,1631.78
1/23/2019,1640.02,5192420,1656.00,1657.43,1612.00
1/22/2019,1632.17,6402655,1681.00,1681.87,1610.20
1/18/2019,1696.20,5973318,1712.00,1716.20,1691.54
1/17/2019,1693.22,4179836,1680.00,1700.17,1677.50
1/16/2019,1683.78,6343614,1684.22,1705.00,1675.88
1/15/2019,1674.56,5964298,1632.00,1675.16,1626.01
1/14/2019,1617.21,5989299,1615.00,1648.20,1595.15
1/11/2019,1640.56,4670093,1640.55,1660.29,1636.22
1/10/2019,1656.22,6487252,1641.01,1663.25,1621.62
1/9/2019,1659.42,6333528,1652.98,1667.80,1641.40
1/8/2019,1656.58,8830753,1664.69,1676.61,1616.61
1/7/2019,1629.51,7971720,1602.31,1634.56,1589.19
1/4/2019,1575.39,9161701,1530.00,1594.00,1518.31
1/3/2019,1500.28,6934218,1520.01,1538.00,1497.11
1/2/2019,1539.13,7871967,1465.20,1553.36,1460.93
12/31/2018,1501.97,6941598,1510.80,1520.76,1487.00
12/28/2018,1478.02,8822598,1473.35,1513.47,1449.00
12/27/2018,1461.64,9631228,1454.20,1469.00,1390.31
12/26/2018,1470.90,10332870,1368.89,1473.16,1363.01
12/24/2018,1343.96,7219996,1346.00,1396.03,1307.00
12/21/2018,1377.45,13556470,1464.99,1480.00,1363.96
12/20/2018,1460.83,9912659,1484.00,1509.50,1432.69
12/19/2018,1495.08,8624401,1543.05,1584.53,1483.18
12/18/2018,1551.48,6468073,1540.00,1567.55,1523.01
12/17/2018,1520.91,8729020,1566.00,1576.13,1505.01
12/14/2018,1591.91,6347659,1638.00,1642.57,1585.00
12/13/2018,1658.38,5249043,1680.00,1692.12,1641.50
12/12/2018,1663.54,6581356,1669.00,1704.99,1660.27
12/11/2018,1643.24,6217833,1678.00,1679.47,1619.60
12/10/2018,1641.03,7467159,1623.84,1657.99,1590.87
12/7/2018,1629.13,7508939,1705.07,1718.93,1625.46
12/6/2018,1699.19,8701197,1614.87,1701.05,1609.85
12/4/2018,1668.40,8653416,1756.00,1770.34,1665.00
12/3/2018,1772.36,6840412,1769.46,1778.34,1730.00
11/30/2018,1690.17,5744168,1679.50,1696.00,1666.50
11/29/2018,1673.57,6600424,1674.99,1689.99,1652.33
11/28/2018,1677.75,8429894,1613.92,1681.45,1601.22
11/27/2018,1581.42,5758441,1575.99,1597.65,1558.01
11/26/2018,1581.33,6226531,1539.00,1584.81,1524.22
11/23/2018,1502.06,2707642,1517.00,1536.20,1501.81
11/21/2018,1516.73,5707400,1542.99,1550.00,1515.00
11/20/2018,1495.46,10824410,1437.50,1534.75,1420.00
11/19/2018,1512.29,7741370,1577.01,1581.19,1503.36
11/16/2018,1593.41,6057199,1587.50,1614.48,1573.12
11/15/2018,1619.44,8379824,1581.01,1624.82,1546.51
11/14/2018,1599.01,6439170,1656.32,1673.00,1597.07
11/13/2018,1631.17,5901499,1649.29,1677.06,1613.75
11/12/2018,1636.85,6763693,1698.24,1708.55,1630.01
11/9/2018,1712.43,5892058,1732.50,1743.92,1701.87
11/8/2018,1754.91,6520345,1755.00,1784.00,1725.11
11/7/2018,1755.49,8166777,1673.00,1759.23,1664.08
11/6/2018,1642.81,4206093,1618.35,1665.00,1614.55
11/5/2018,1627.80,5615749,1657.57,1658.09,1596.36
11/2/2018,1665.53,6932644,1678.59,1697.44,1651.83
11/1/2018,1665.53,8054045,1623.53,1670.45,1598.44
10/31/2018,1598.01,9372899,1569.99,1623.91,1565.09
10/30/2018,1530.42,12395130,1486.16,1540.99,1476.36
10/29/2018,1538.88,13791810,1660.00,1665.74,1495.00
10/26/2018,1642.81,14941860,1649.59,1698.46,1603.00
10/25/2018,1782.17,9941447,1703.34,1794.81,1692.01
10/24/2018,1664.20,6845123,1773.70,1777.71,1656.56
10/23/2018,1768.70,6705686,1742.24,1776.34,1714.00
10/22/2018,1789.30,4481334,1784.00,1809.50,1756.00
10/19/2018,1764.03,5854417,1785.16,1809.10,1753.00
10/18/2018,1770.72,5839352,1821.49,1830.15,1767.87
10/17/2018,1831.73,5282597,1842.79,1845.00,1807.00
10/16/2018,1819.96,5826985,1783.50,1823.88,1761.55
10/15/2018,1760.95,6360606,1795.00,1795.05,1734.23
10/12/2018,1788.61,9385256,1808.00,1808.95,1742.53
10/11/2018,1719.36,13858970,1724.00,1755.40,1685.10
10/10/2018,1755.25,10878990,1857.89,1858.56,1754.41
10/9/2018,1870.32,4732430,1859.99,1896.68,1852.32
10/8/2018,1864.42,7346828,1874.00,1902.00,1830.66
10/5/2018,1889.65,6816213,1917.99,1929.08,1862.83
10/4/2018,1909.42,7240549,1949.00,1956.00,1896.57
10/3/2018,1952.76,5167224,1981.70,1989.70,1949.81
10/2/2018,1971.31,5360924,1999.99,2013.39,1965.77
10/1/2018,2004.36,3457725,2021.99,2033.19,2003.60
9/28/2018,2003.00,3991574,2004.41,2026.52,1996.46
9/27/2018,2012.98,4295758,1993.24,2016.16,1988.58
9/26/2018,1974.85,4262097,1968.50,1995.25,1961.52
9/25/2018,1974.55,4351662,1942.90,1975.91,1938.85
9/24/2018,1934.36,4146563,1903.79,1936.88,1865.00
9/21/2018,1915.01,6774727,1954.22,1957.31,1910.50
9/20/2018,1944.30,3142025,1938.58,1955.00,1932.25
9/19/2018,1926.42,4037641,1940.50,1940.83,1904.90
9/18/2018,1941.05,4231892,1918.65,1958.20,1915.44
9/17/2018,1908.03,6981550,1954.73,1956.82,1887.41
9/14/2018,1970.19,3587896,1992.93,1993.65,1959.22
9/13/2018,1989.87,3605398,2000.00,2008.76,1982.03
9/12/2018,1990.00,4407334,1994.00,2000.00,1962.44
9/11/2018,1987.15,5016780,1928.27,1988.88,1917.00
9/10/2018,1939.01,4481091,1971.00,1973.04,1931.52
9/7/2018,1952.07,4856982,1938.71,1975.20,1937.35
9/6/2018,1958.31,7473086,2006.51,2007.50,1935.21
9/5/2018,1994.82,8197117,2038.11,2040.38,1989.89
9/4/2018,2039.51,5703128,2026.50,2050.50,2013.00
8/31/2018,2012.71,4148432,2007.00,2022.38,2004.74
8/30/2018,2002.38,7254573,1997.42,2025.57,1986.90
8/29/2018,1998.10,6432354,1953.45,1998.69,1948.94
8/28/2018,1932.82,3070482,1937.73,1941.78,1928.82
8/27/2018,1927.68,3546496,1915.00,1927.70,1909.28
8/24/2018,1905.39,2781770,1910.51,1916.01,1902.54
8/23/2018,1902.90,3548197,1907.17,1919.50,1900.76
8/22/2018,1904.90,3058369,1876.64,1905.80,1876.64
8/21/2018,1883.42,3068215,1880.00,1897.75,1874.41
8/20/2018,1876.71,2854320,1890.57,1891.75,1866.06
8/17/2018,1882.22,4088548,1885.80,1888.00,1855.55
8/16/2018,1886.52,3884253,1903.94,1905.00,1883.55
8/15/2018,1882.62,7658108,1909.55,1916.21,1869.79
8/14/2018,1919.65,3918758,1919.39,1921.01,1900.00
8/13/2018,1896.20,5508481,1898.50,1925.00,1893.67
8/10/2018,1886.30,3623734,1888.51,1899.50,1878.21
8/9/2018,1898.52,4844363,1882.00,1914.57,1877.48
8/8/2018,1886.52,3922462,1861.00,1891.51,1854.50
8/7/2018,1862.48,3332789,1854.53,1869.72,1846.27
8/6/2018,1847.75,3383971,1825.81,1847.77,1818.92
8/3/2018,1823.29,3454718,1837.74,1841.00,1821.50
8/2/2018,1834.33,4337911,1788.77,1836.56,1786.00
8/1/2018,1797.17,4139144,1784.00,1798.44,1776.02
7/31/2018,1777.44,5716449,1786.49,1801.83,1739.32
7/30/2018,1779.22,6542712,1827.33,1829.50,1766.02
7/27/2018,1817.27,9670042,1876.05,1880.05,1806.53
7/26/2018,1808.00,9637399,1839.00,1844.68,1804.50
7/25/2018,1863.61,3657664,1829.30,1863.84,1822.64
7/24/2018,1829.24,4228340,1829.01,1840.00,1809.38
7/23/2018,1802.00,3858903,1812.21,1819.00,1769.99
7/20/2018,1813.70,3879448,1825.01,1834.84,1810.06
7/19/2018,1812.97,4590063,1829.46,1841.00,1811.27
7/18/2018,1842.92,4851208,1848.00,1858.88,1831.27
7/17/2018,1843.93,5660705,1811.56,1851.69,1797.38
7/16/2018,1822.49,5425916,1821.95,1841.95,1814.45
7/13/2018,1813.03,4381802,1803.93,1815.30,1795.23
7/12/2018,1796.62,4511274,1764.51,1798.00,1762.18
7/11/2018,1755.00,3167209,1737.99,1756.96,1734.00
7/10/2018,1743.07,2977310,1738.53,1750.00,1731.00
7/9/2018,1739.02,2926194,1724.05,1739.56,1716.23
7/6/2018,1710.63,2586450,1696.00,1715.27,1691.67
7/5/2018,1699.73,2974047,1705.38,1710.69,1682.15
7/3/2018,1693.96,2177276,1723.96,1725.00,1692.48
7/2/2018,1713.78,3180640,1682.70,1713.89,1678.06
6/29/2018,1699.80,4486680,1717.00,1723.41,1694.32
6/28/2018,1701.45,4521788,1672.54,1705.50,1661.17
6/27/2018,1660.51,4778872,1708.11,1711.95,1660.00
6/26/2018,1691.09,4295320,1672.37,1701.57,1663.34
6/25/2018,1663.15,7494818,1702.51,1705.00,1646.31
6/22/2018,1715.67,4050059,1742.62,1743.00,1711.90
6/21/2018,1730.22,4913177,1760.00,1763.10,1717.56
6/20/2018,1750.08,4320836,1742.50,1762.93,1741.36
6/19/2018,1734.78,4278496,1709.04,1736.11,1700.39
6/18/2018,1723.79,3094110,1706.26,1726.74,1702.56
6/15/2018,1715.97,4729101,1714.00,1720.87,1708.52
6/14/2018,1723.86,3157127,1713.48,1724.80,1708.87
6/13/2018,1704.86,3315258,1702.81,1713.75,1700.12
6/12/2018,1698.75,2203056,1693.00,1699.51,1691.52
6/11/2018,1689.12,2317881,1681.51,1694.24,1680.59
6/8/2018,1683.99,2949020,1681.12,1689.44,1673.01
6/7/2018,1689.30,3756128,1698.56,1699.90,1676.11
6/6/2018,1695.75,5466032,1704.51,1714.50,1686.47
6/5/2018,1696.35,4733275,1672.99,1699.00,1670.06
6/4/2018,1665.27,3178387,1648.90,1665.68,1645.49
6/1/2018,1641.54,3302466,1637.03,1646.73,1635.09
5/31/2018,1629.62,3157622,1623.00,1635.00,1621.35
5/30/2018,1624.89,2892704,1618.10,1626.00,1612.93
5/29/2018,1612.87,3837381,1600.71,1621.79,1600.15
5/25/2018,1610.15,2624784,1603.00,1614.12,1600.45
5/24/2018,1603.07,3383788,1598.03,1608.24,1588.38
5/23/2018,1601.86,3348540,1571.05,1601.86,1566.34
5/22/2018,1581.40,2053733,1589.89,1589.89,1575.25
5/21/2018,1585.46,2840655,1585.00,1592.05,1575.00
5/18/2018,1574.37,2612564,1581.33,1583.59,1572.10
